period_seq,b2b_timeseries
2527,6498.0
2528,6307.0
2529,7099.0
2530,6500.0
2531,5777.0
2532,5707.0
2533,5644.0
2534,5487.0
2535,5078.714285714285
2536,9266.0
2537,9188.0
2538,7598.0
2539,6691.0
2540,7512.714285714284
2541,7629.714285714284
2542,7025.0
2543,6556.0
2544,7206.0
2545,7316.0
2546,6109.0
2547,6651.428571428572
2548,6378.0
2549,6912.565789473684
2550,6285.618421052632
2551,6353.0
2552,22307.0
2553,8573.0
2554,7402.0
2555,7306.0
2556,7698.0
2557,13339.0
2558,12198.0
2559,9641.0
2560,8144.0
2561,7522.0
2562,8390.0
2563,7619.0
2564,7374.0
2565,6377.0
2566,6876.0
2567,7113.0
2568,7710.0
2569,6052.0
2570,6087.0
2571,6743.0
2572,6330.0
2573,4972.0
2574,5739.0
2575,7490.0
2576,6919.0
2577,5466.0
2578,5596.0
2579,7164.0
2580,5556.0
2581,6732.0
2582,5967.0
2583,5084.0
2584,6935.0
2585,6141.0
2586,5798.0
2587,5139.0
2588,9492.0
2589,9209.0
2590,8307.0
2591,7548.0
2592,9625.0
2593,8639.0
2594,7450.0
2595,6968.0
2596,7015.0
2597,7915.0
2598,7755.0
2599,7686.0
2600,6578.0
2601,7611.0
2602,7171.0
2603,6982.0
2604,6609.0
2605,25341.0
2606,10083.0
2607,9145.0
2608,8843.0
2609,9498.0
2610,12908.0
2611,11312.0
2612,10693.45
2613,9448.0
2614,9768.0
2615,9111.0
2616,8711.0
2617,8415.0
2618,9227.0
2619,9515.0
2620,9725.0
2621,10274.0
2622,9084.0
2623,12696.0
2624,9559.0
2625,9296.0
2626,8773.0
2627,11867.0
2628,9176.0
2629,11069.0
2630,10017.0
2631,10388.0
2632,16824.0
2633,14324.0
2634,10547.0
2635,8425.0
2636,11534.0
2637,9934.0
2638,8357.0
2639,8430.0
2640,11858.0
2641,9990.0
2642,7598.0
2643,8297.0
2644,9092.0
2645,9946.0
2646,9199.0
2647,9478.0
2648,11275.0
2649,14596.0
2650,15970.0
2651,12820.0
2652,9625.0
2653,9990.0
2654,9504.0
2655,8691.0
2656,14080.0
2657,28225.0
2658,11990.0
2659,11278.0
2660,12568.0
2661,7752.0
2662,12198.0
2663,11006.0
2664,9347.0
2665,9793.0
2666,10315.0
2667,10449.0
2668,8728.0
2669,8588.0
2670,8490.0
2671,10751.0
2672,9481.0
2673,9132.0
2674,9473.0
2675,8760.0
2676,10179.0
2677,8662.0
2678,7685.0
2679,8930.0
2680,8920.0
2681,8108.0
2682,6660.0
2683,7015.0
2684,7228.0
2685,7704.0
2686,6704.0
2687,7065.0
2688,8977.0
2689,7590.0
2690,5676.0
2691,6267.0
2692,9818.0
2693,9451.0
2694,8344.0
2695,7108.0
2696,7110.0
2697,8008.0
2698,6826.0
2699,6919.0
2700,6986.0
2701,7778.0
2702,7109.0
2703,6845.0
2704,7146.0
2705,6901.0
2706,6902.0
2707,6781.0
2708,8297.0
2709,21408.0
2710,9583.0
2711,7756.0
2712,8039.0
2713,5005.0
2714,11660.0
2715,11762.0
2716,8860.0
2717,7222.0
2718,7206.0
2719,8274.0
2720,6709.0
2721,6667.0
2722,6542.0
2723,6618.0
2724,6025.0
2725,5827.0
2726,4944.0
2727,6271.0
2728,6301.0
2729,5083.0
2730,5859.0
2731,5655.0
2732,5931.0
2733,5330.0
2734,5480.0
2735,5298.9
2736,5629.0
2737,5379.0
2738,5633.0
2739,4286.0
2740,5483.0
2741,6136.0
2493,
2494,
2495,
2496,
2497,
2498,
2499,
2500,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2501,
2502,
2503,
2504,
2505,
2523,
2524,
2525,
2526,
2484,
2485,
2479,
2480,
2481,
2482,
2483,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
