period_seq,b2b_timeseries
2558,15180.997475079364
2559,15180.469475079364
2560,15180.293475079365
2561,28575.15665897292
2562,15180.997475079364
2563,14086.726157256768
2564,12461.334677573295
2565,14087.256157256768
2566,13544.398997362277
2567,14684.803315238096
2568,13557.206137142855
2569,12990.677548095238
2570,15252.171904285715
2571,12675.454583978173
2572,10927.805675843252
2573,9179.756767708333
2574,10928.205675843252
2575,13527.683804750566
2576,11498.71823403798
2577,11498.93823403798
2578,15557.309375463152
2579,15556.869375463151
2580,12038.927214785996
2581,13085.649146506517
2582,13085.389146506517
2583,14132.63107822704
2584,14052.215767363949
2585,15457.138144100343
2586,13350.162578995752
2587,12646.749390627554
2588,14753.452955732146
2589,19974.154032349776
2590,25848.015806570304
2591,32896.20193563493
2592,38770.06370985545
2593,34788.23206547024
2594,19625.6868061627
2595,16950.465878049603
2596,17846.646187420636
2597,16475.796113333337
2598,14906.256483492069
2599,18044.57574317461
2600,14907.776483492067
2601,14123.576668571432
2602,13536.099603809525
2603,13536.079603809527
2604,13536.139603809526
2605,43992.17871238096
2606,19433.687128571437
2607,14395.417873015876
2608,19433.867128571437
2609,18714.01723492064
2610,17438.72620446521
2611,16412.49819243784
2612,17438.17620446521
2613,31799.64837284832
2614,19489.752228519937
2615,15554.151339521595
2616,14358.727390327625
2617,14358.507390327626
2618,15554.811339521597
2619,13433.189072857149
2620,17565.314941428576
2621,38228.67428428573
2622,34096.9684157143
2623,26065.8705216508
2624,17920.471608634925
2625,17920.741608634926
2626,19549.6053912381
2627,18049.493417173384
2628,16149.538320628815
2629,18999.23096544567
2630,18999.630965445667
2631,22799.8611585348
2632,18882.573235549447
2633,18873.81323554945
2634,15391.640414151401
2635,16787.42954271062
2636,17559.116424426447
2637,17554.239424426447
2638,16674.088953205122
2639,17556.677924426447
2640,18427.074395647767
2641,17942.862713076916
2642,24337.82796774725
2643,38403.391528021966
2644,47359.222884560426
2645,34114.92202260458
2646,23413.67569110275
2647,18844.44201797763
2648,21612.85016873915
2649,23399.693180643913
2650,20997.230195247736
2651,20845.382614661656
2652,22195.643687536147
2653,23523.864847165994
2654,20619.06084090033
2655,22095.54501720648
2656,23714.016881289765
2657,49804.87744857336
2658,24378.79167760748
2659,21337.08825125313
2660,27205.42852935223
2661,17772.847255398112
2662,19568.550634128664
2663,28555.17907669076
2664,23772.950184708287
2665,24230.91082863209
2666,25432.033543874382
2667,21348.955356979557
2668,16575.150160855577
2669,19230.304719696447
2670,17537.96604066649
2671,18576.087152545504
2672,19611.15549120849
2673,18619.16180903076
2674,20829.785199202004
2675,16934.876702996324
2676,17687.4680980461
2677,16688.109533239436
2678,16709.54798578104
2679,18290.8035822136
2680,18375.00099733025
2681,15685.51209206124
2682,17841.46442640182
2683,21866.2108094232
2684,17195.25623819161
2685,15382.882331749086
2686,15282.224944796484
2687,28516.032320454127
2688,19495.959904995187
2689,19608.45814410606
2690,19630.31965200765
2691,17941.143900306073
2692,21406.011947109248
2693,21462.806058988037
2694,23344.584749310547
2695,35077.716513720145
2696,46538.828859942405
2697,41753.841910412826
2698,29600.486079768787
2699,23392.929505593667
2700,22374.08970559759
2701,24996.287234408843
2702,18504.730739431707
2703,16771.814947617775
2704,17944.07873446585
2705,21911.453731013815
2706,17988.043320411954
2707,16782.977873484582
2708,25549.55549452741
2709,54951.71000000001
2710,25746.714166666672
2711,16708.28166666667
2712,19045.640833333335
2713,17926.250833333335
2714,19169.808333333334
2715,18798.648333333334
2716,19052.47166666667
2717,21134.1
2718,30861.125
2719,20101.3635
2720,17727.12
2721,15756.685
2722,16438.295
2723,14838.055
2724,14962.06
2725,15470.415
2726,15465.775
2727,17809.78
2728,16096.11
2729,12390.82
2730,13023.915
2731,14551.67
2732,13096.675
2733,12792.275
2734,14932.0
2735,19595.355
2736,16714.22
2737,16399.21
2738,13446.775000000023
2739,15685.93
2740,17650.41
2741,17370.015
