period_seq,b2c_timeseries
2527,8314.0
2528,8449.0
2529,8473.0
2530,8585.0
2531,8215.0
2532,8701.0
2533,8672.0
2534,8682.0
2535,9769.0
2536,8254.0
2537,10499.0
2538,10964.0
2539,12249.0
2540,12445.0
2541,11795.0
2542,11805.0
2543,10069.0
2544,11516.0
2545,9584.0
2546,8799.0
2547,8643.0
2548,9255.0
2549,9978.0
2550,8596.0
2551,7983.0
2552,22410.0
2553,15681.0
2554,10715.0
2555,12503.0
2556,14986.0
2557,9881.0
2558,9618.0
2559,11948.0
2560,10700.0
2561,10312.0
2562,10618.0
2563,9035.0
2564,8452.0
2565,7727.0
2566,8521.0
2567,8170.0
2568,8239.0
2569,7593.0
2570,8805.0
2571,8344.0
2572,8369.0
2573,7294.0
2574,7751.0
2575,8150.0
2576,7617.0
2577,7176.0
2578,8052.0
2579,7609.0
2580,7427.0
2581,6827.0
2582,7784.0
2583,7845.26
2584,9040.26
2585,8861.26
2586,8509.26
2587,8861.26
2588,11195.26
2589,12334.26
2590,11686.0
2591,11324.0
2592,12179.0
2593,11935.0
2594,11077.0
2595,10190.0
2596,10212.0
2597,9306.0
2598,8051.0
2599,8082.0
2600,8707.0
2601,8905.0
2602,8501.0
2603,8790.0
2604,7354.0
2605,26449.0
2606,17989.0
2607,12403.0
2608,14314.0
2609,10963.0
2610,10325.0
2611,12684.0
2612,11877.0
2613,11751.0
2614,11598.0
2615,10044.0
2616,9531.0
2617,8459.0
2618,9200.0
2619,9464.0
2620,12741.0
2621,14505.0
2622,9703.0
2623,9404.0
2624,6760.0
2625,6890.0
2626,8374.0
2627,7172.0
2628,6187.0
2629,14432.0
2630,9051.0
2631,10872.0
2632,10507.0
2633,11619.0
2634,10150.0
2635,9145.0
2636,10012.0
2637,10967.0
2638,10464.0
2639,10696.0
2640,9922.0
2641,13569.0
2642,12601.0
2643,12642.0
2644,13968.0
2645,12577.0
2646,11148.0
2647,9883.0
2648,10336.0
2649,9807.0
2650,9408.0
2651,9504.0
2652,10782.0
2653,12163.0
2654,10756.0
2655,9967.0
2656,8395.0
2657,29937.0
2658,18990.0
2659,12657.0
2660,15051.0
2661,9388.0
2662,10037.0
2663,13176.5
2664,15637.07
2665,9743.71
2666,10086.0
2667,9430.0
2668,8886.57
2669,8483.07
2670,7340.21
2671,13951.0
2672,11954.07
2673,11062.07
2674,10002.07
2675,8068.07
2676,8901.0
2677,9656.07
2678,8770.07
2679,8621.0
2680,9639.42
2681,8646.56
2682,9042.0
2683,8522.07
2684,8304.0
2685,8003.07
2686,7468.0
2687,8575.0
2688,9470.0
2689,10709.07
2690,9867.14
2691,9186.0
2692,10724.0
2693,12504.0
2694,12402.0
2695,12394.07
2696,13547.0
2697,10520.0
2698,9670.0
2699,10227.0
2700,9622.07
2701,9736.0
2702,9166.07
2703,7849.07
2704,7712.0
2705,10288.07
2706,9186.07
2707,10144.0
2708,7910.0
2709,25707.28
2710,16696.07
2711,11259.21
2712,12287.21
2713,15211.0
2714,10499.07
2715,12247.07142857143
2716,11434.0
2717,11628.14285714286
2718,11174.0
2719,10910.0
2720,9222.07142857143
2721,9752.0
2722,9448.0
2723,8814.142857142859
2724,9030.07142857143
2725,8857.0
2726,9693.07142857143
2727,9851.0
2728,9322.53125
2729,7200.5
2730,6690.0
2731,9146.53125
2732,10762.53125
2733,7776.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,9083.0
2494,7720.0
2495,7675.0
2496,8602.0
2497,8278.0
2498,8142.0
2499,7907.0
2500,16342.0
2515,9781.0
2516,8750.0
2517,8981.0
2518,8182.0
2519,7787.0
2520,7926.0
2521,7450.0
2522,8187.0
2501,12595.0
2502,11540.0
2503,13783.0
2504,17117.0
2505,10356.0
2523,8133.0
2524,6458.0
2525,7637.0
2526,6722.0
2484,7440.0
2485,9697.0
2479,9883.0
2480,8918.0
2481,8851.0
2482,7770.0
2483,9476.0
2486,9429.0
2487,9824.0
2488,10964.0
2489,9872.0
2490,11223.0
2491,10230.0
2492,9783.0
2506,11710.0
2507,12945.0
2508,10967.0
2509,10649.0
2510,10504.0
2511,9521.0
2512,8734.0
2513,9262.0
2514,10591.0
