period_seq,b2c_timeseries
2527,5102.0
2528,5448.0
2529,5077.0
2530,5981.0
2531,5912.0
2532,5384.0
2533,4795.0
2534,4722.0
2535,4944.0
2536,6266.0
2537,5934.0
2538,5083.0
2539,5094.0
2540,4825.0
2541,5338.0
2542,4722.0
2543,4190.0
2544,5125.0
2545,4998.0
2546,4356.0
2547,4500.0
2548,4307.0
2549,5249.9078947368425
2550,4665.815789473684
2551,5576.0
2552,12172.0
2553,7261.0
2554,9597.0
2555,12956.0
2556,11711.0
2557,5072.0
2558,7076.0
2559,6720.0
2560,4925.0
2561,4257.0
2562,5350.0
2563,5216.0
2564,4765.0
2565,4211.0
2566,4337.0
2567,4966.0
2568,4396.0
2569,4453.0
2570,5467.0
2571,4828.0
2572,4362.0
2573,3730.0
2574,4559.0
2575,5516.0
2576,5548.0
2577,4169.0
2578,4024.0
2579,5334.0
2580,4221.0
2581,4182.0
2582,4243.0
2583,5269.0
2584,6264.0
2585,4894.0
2586,4689.0
2587,4062.0
2588,5901.0
2589,6078.0
2590,4835.0
2591,4565.0
2592,4568.0
2593,5803.0
2594,4570.0
2595,4083.0
2596,4885.0
2597,5199.0
2598,4485.0
2599,4713.0
2600,4247.0
2601,4945.0
2602,4975.0
2603,4816.0
2604,4196.0
2605,15536.0
2606,8799.0
2607,10700.0
2608,11063.0
2609,4792.725
2610,6733.0
2611,6287.0
2612,5521.0
2613,5426.0
2614,5782.0
2615,4816.0
2616,4369.0
2617,4148.0
2618,4721.0
2619,4924.0
2620,4564.0
2621,3938.0
2622,4549.0
2623,5814.0
2624,4213.0
2625,4770.0
2626,4134.0
2627,4828.0
2628,5110.0
2629,5937.0
2630,4504.0
2631,4961.0
2632,5363.0
2633,5387.0
2634,4671.0
2635,4624.0
2636,6179.0
2637,5077.0
2638,4657.0
2639,4663.0
2640,4925.0
2641,4942.0
2642,4202.0
2643,4546.0
2644,4265.0
2645,5805.0
2646,4416.0
2647,3635.0
2648,4348.0
2649,6744.0
2650,6763.0
2651,5796.0
2652,5236.0
2653,5787.0
2654,5481.0
2655,5534.0
2656,6596.0
2657,13518.0
2658,9465.0
2659,9610.0
2660,10354.0
2661,4146.0
2662,3864.0
2663,5643.0
2664,4988.0
2665,5792.0
2666,6099.0
2667,4677.0
2668,3783.0
2669,3860.0
2670,4012.0
2671,5593.0
2672,5717.0
2673,5052.0
2674,5932.0
2675,6039.0
2676,6823.0
2677,6731.0
2678,5335.0
2679,5359.0
2680,5329.0
2681,4774.0
2682,4287.0
2683,5734.0
2684,4708.0
2685,4449.0
2686,5108.0
2687,5134.0
2688,5116.0
2689,5359.0
2690,4927.0
2691,4640.0
2692,5981.0
2693,6009.0
2694,4985.0
2695,4883.0
2696,4670.0
2697,4499.0
2698,4574.0
2699,4351.0
2700,4574.0
2701,6253.0
2702,4978.0
2703,4822.0
2704,4698.0
2705,4393.0
2706,4864.0
2707,4550.0
2708,4492.0
2709,8813.5
2710,5671.0
2711,8428.0
2712,10413.0
2713,5278.0
2714,4804.0
2715,6108.0
2716,5640.0
2717,4432.0
2718,4491.0
2719,4643.0
2720,4568.0
2721,4223.0
2722,4363.0
2723,4051.0
2724,4384.0
2725,4256.0
2726,4567.0
2727,4777.0
2728,6171.0
2729,4643.0
2730,4647.0
2731,5303.0
2732,5119.0
2733,4204.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,5710.0
2494,4573.0
2495,4611.0
2496,4072.0
2497,5439.0
2498,5454.0
2499,4801.0
2500,11089.0
2515,4654.0
2516,4449.0
2517,3695.0
2518,4644.0
2519,4746.0
2520,5245.0
2521,4448.0
2522,4321.0
2501,7031.0
2502,9620.0
2503,12115.0
2504,10400.0
2505,4734.0
2523,5606.0
2524,4661.0
2525,4185.0
2526,3937.0
2484,6900.0
2485,5301.0
2479,6178.0
2480,5555.0
2481,6045.0
2482,5317.0
2483,4791.0
2486,5277.0
2487,4366.0
2488,4607.0
2489,5015.0
2490,4808.0
2491,4476.0
2492,5135.0
2506,7003.0
2507,5457.0
2508,4991.0
2509,4267.0
2510,4598.0
2511,4266.0
2512,4595.0
2513,4284.0
2514,4668.0
