period_seq,b2c_timeseries
2558,14953.076046507937
2559,14952.548046507936
2560,14952.372046507937
2561,28146.12808754435
2562,14953.076046507937
2563,13854.249014399627
2564,12255.681820430438
2565,13854.779014399626
2566,13320.863283076564
2567,14473.683315238097
2568,13362.326137142858
2569,12803.917548095238
2570,15032.931904285717
2571,12420.006012549604
2572,10707.591390128968
2573,8994.776767708334
2574,10707.991390128967
2575,13361.026661893424
2576,11357.05966260941
2577,11357.27966260941
2578,15365.653661177435
2579,15365.213661177437
2580,11842.01435764314
2581,12871.613432220804
2582,12871.353432220803
2583,13901.47250679847
2584,13907.130053078236
2585,15297.54385838606
2586,13212.331150424325
2587,12516.172247770412
2588,14601.112955732147
2589,19796.96546092121
2590,25618.712949427445
2591,32604.36193563493
2592,38426.10942414117
2593,34465.36777975596
2594,19443.55823473413
2595,16793.17302090675
2596,17681.07475884921
2597,16278.036113333335
2598,14727.330769206354
2599,17827.981457460322
2600,14728.850769206354
2601,13954.06809714286
2602,13381.333889523812
2603,13381.313889523812
2604,13381.373889523811
2605,43489.19014095239
2606,19255.37141428572
2607,14263.332158730162
2608,19255.55141428572
2609,18542.30580634921
2610,17259.831515756636
2611,16244.12672071213
2612,17259.281515756637
2613,31473.42864637975
2614,19289.81110584565
2615,15265.532768093024
2616,14092.310247470485
2617,14092.090247470484
2618,15266.192768093026
2619,13211.938358571431
2620,17275.98708428572
2621,37598.96071285716
2622,33535.33198714287
2623,25741.001950222228
2624,17697.124465777782
2625,17697.394465777783
2626,19305.95396266667
2627,17828.06877431624
2628,15951.421534914532
2629,18766.1523940171
2630,18766.552394017097
2631,22520.16687282052
2632,18676.110021263736
2633,18667.350021263734
2634,15223.411128437116
2635,16603.906685567763
2636,17362.659281569304
2637,17357.782281569303
2638,16487.454667490838
2639,17360.220781569304
2640,18220.79439564777
2641,17761.21271307692
2642,24091.302967747248
2643,38014.141528021966
2644,46879.14788456043
2645,33898.74345117601
2646,23207.81854824561
2647,18520.977732263345
2648,21369.35016873915
2649,23071.01460921534
2650,20782.48019524774
2651,20614.204043233087
2652,21882.60797325044
2653,23144.40056145171
2654,20406.310840900325
2655,21805.29501720648
2656,23513.766881289765
2657,49377.87744857336
2658,24126.04167760748
2659,21001.83825125313
2660,26806.928529352223
2661,17477.597255398112
2662,20942.153491271525
2663,28459.102255262194
2664,23890.221934708294
2665,24407.883507203536
2666,25586.90693673153
2667,21086.89303555099
2668,16770.58319656987
2669,20223.99168398217
2670,18661.801576380785
2671,18723.69233111694
2672,19659.614955494213
2673,18432.97570188792
2674,21004.41052063058
2675,17047.047381567758
2676,17664.00949090325
2677,17162.43021181087
2678,17139.364735781044
2679,18389.832117927886
2680,18951.973461615977
2681,16100.826699204104
2682,18330.34153354469
2683,22189.09648799464
2684,17107.69763104878
2685,15185.223724606243
2686,14946.89574241554
2687,28286.044427597
2688,18608.55832166187
2689,17947.292394106076
2690,17095.7916401029
2691,16487.378507448942
2692,20022.149530442603
2693,19220.53733279757
2694,20977.24721359628
2695,32075.29112086303
2696,42302.67299089482
2697,37459.39342231762
2698,27794.787948816425
2699,21937.702017498443
2700,21108.91824131189
2701,23383.57900821839
2702,17721.749298955536
2703,15793.954602379694
2704,16906.304603513487
2705,21205.98645720431
2706,17107.766594221495
2707,16400.991552056028
2708,25079.382815956
2709,52408.52010714288
2710,24654.29184523812
2711,16539.173964285732
2712,18403.106630952403
2713,17479.666940476225
2714,18765.90525000001
2715,18487.163035714293
2716,18249.952535714296
2717,20691.66272619049
2718,30230.66922619049
2719,19333.60213095239
2720,17482.316083333368
2721,15332.098416666691
2722,16051.248416666696
2723,14783.417083333354
2724,14730.18708333335
2725,15256.826750000024
2726,15417.59641666668
2727,17698.851416666694
2728,16019.402083333352
2729,12506.759750000014
2730,12971.713083333354
2731,14409.64475000002
2732,13121.518083333349
2733,12872.70508333335
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
