period_seq,b2c_timeseries
2527,4199.0
2528,5099.0
2529,6473.0
2530,6466.0
2531,6337.0
2532,5497.0
2533,5297.0
2534,4566.0
2535,4712.0
2536,5474.0
2537,6502.0
2538,6792.0
2539,6839.0
2540,6077.0
2541,5531.0
2542,5546.0
2543,4968.025641025641
2544,5588.871794871795
2545,5149.292307692308
2546,4793.476923076923
2547,5092.482051282052
2548,5388.169230769231
2549,5798.0
2550,5858.0
2551,4919.0
2552,26416.0
2553,8376.0
2554,6572.0
2555,6889.0
2556,7084.0
2557,8675.0
2558,10803.0
2559,8030.0
2560,5841.0
2561,5027.0
2562,4694.0
2563,4686.0
2564,6441.0
2565,5350.0
2566,5119.0
2567,5183.0
2568,4700.0
2569,4808.0
2570,5346.0
2571,4671.0
2572,4683.0
2573,3248.0
2574,4078.0
2575,4381.0
2576,5078.0
2577,4032.0
2578,4638.0
2579,5071.0
2580,4361.0
2581,5237.0
2582,6042.0
2583,6663.0
2584,6026.0
2585,4756.0
2586,5254.0
2587,4462.0
2588,5406.0
2589,6562.0
2590,7509.0
2591,7086.0
2592,6082.0
2593,5935.0
2594,5724.0
2595,5912.0
2596,6221.0
2597,6152.0
2598,5576.0
2599,6241.0
2600,6436.0
2601,5813.0
2602,5197.0
2603,5691.0
2604,4720.0
2605,30681.0
2606,10485.0
2607,7590.0
2608,8046.0
2609,6875.0
2610,11018.0
2611,8431.0
2612,6943.0
2613,6408.0
2614,6547.0
2615,5354.0
2616,5290.0
2617,5588.0
2618,7059.0
2619,6204.0
2620,5407.0
2621,5720.0
2622,6467.0
2623,6919.0
2624,5322.0
2625,5822.0
2626,6148.0
2627,5471.0
2628,5391.0
2629,5634.0
2630,5221.0
2631,5496.0
2632,5114.0
2633,5476.0
2634,6600.0
2635,7316.0
2636,8005.0
2637,7142.0
2638,7060.0
2639,7043.0
2640,6582.0
2641,7064.0
2642,6797.0
2643,7442.0
2644,7337.0
2645,7145.0
2646,7199.0
2647,6994.0
2648,7598.0
2649,7741.0
2650,6914.0
2651,5888.0
2652,7438.0
2653,7537.0
2654,6262.0
2655,6904.0
2656,16068.0
2657,31827.0
2658,13646.0
2659,10215.0
2660,9981.0
2661,5866.0
2662,12142.0
2663,9800.0
2664,7858.0
2665,6889.0
2666,6781.0
2667,6279.0
2668,5451.0
2669,6192.0
2670,7334.0
2671,6244.0
2672,5892.0
2673,6091.0
2674,6090.0
2675,4205.0
2676,4884.0
2677,5296.0
2678,4283.0
2679,4873.0
2680,5393.0
2681,5976.0
2682,5045.0
2683,4516.0
2684,5050.0
2685,5960.0
2686,7857.0
2687,6993.0
2688,6451.0
2689,6356.0
2690,6166.0
2691,5702.0
2692,6245.0
2693,6281.0
2694,9244.0
2695,6560.0
2696,6246.0
2697,5624.0
2698,5906.0
2699,5563.0
2700,6942.0
2701,6073.0
2702,5447.0
2703,5219.0
2704,7703.0
2705,5157.0
2706,4668.0
2707,4952.0
2708,11713.0
2709,27062.0
2710,10181.0
2711,6598.0
2712,7718.0
2713,5490.0
2714,8940.0
2715,12354.0
2716,8131.0
2717,6037.0
2718,7360.0
2719,5865.0
2720,6007.0
2721,5255.0
2722,4872.0
2723,4925.0
2724,4319.0
2725,7203.0
2726,6318.0
2727,5835.0
2728,5813.0
2729,4352.0
2730,3946.0
2731,5117.0
2732,4654.0
2733,4419.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,6566.0
2494,5753.0
2495,5480.0
2496,5779.0
2497,6075.0
2498,5580.0
2499,5076.0
2500,18912.0
2515,4068.0
2516,4571.0
2517,4882.0
2518,3431.0
2519,4021.0
2520,4431.0
2521,3836.0
2522,4212.0
2501,7323.0
2502,6568.0
2503,7316.0
2504,7003.0
2505,9224.0
2523,3718.0
2524,3405.0
2525,2858.0
2526,3432.0
2484,6020.0
2485,6161.0
2479,6408.0
2480,6054.0
2481,6303.0
2482,5272.0
2483,5355.0
2486,6571.0
2487,5916.0
2488,5536.0
2489,5432.0
2490,6471.0
2491,6284.0
2492,6626.0
2506,10706.0
2507,7462.0
2508,6010.0
2509,6460.0
2510,5376.0
2511,5892.0
2512,5724.0
2513,4720.0
2514,4399.0
