period_seq,b2c_timeseries
2527,33760.041428728815
2528,33128.65765289344
2529,31438.91566972701
2530,32743.86030506569
2531,31123.650515675952
2532,36114.79226596486
2533,30026.23150936688
2534,38825.930621943495
2535,32021.88697966484
2536,37229.81179800226
2537,37033.4194900798
2538,40281.65491543042
2539,43339.23739251186
2540,50029.06737262542
2541,56409.154773768925
2542,56616.44711829858
2543,56603.92926599689
2544,52957.77508992586
2545,49553.70768701069
2546,41386.803993126494
2547,39428.77725748413
2548,37728.84986314624
2549,39159.667346899216
2550,38273.53371067656
2551,44902.738390462895
2552,93809.46763653886
2553,70575.06284546958
2554,48078.00195070819
2555,47338.90630254789
2556,52089.04372942703
2557,36002.794642649824
2558,43918.10845966153
2559,45309.2744607909
2560,42754.77519737363
2561,38691.09751445024
2562,36839.558327723695
2563,36609.26516839982
2564,33359.4816956
2565,32485.0569816
2566,34713.6414344
2567,38115.176
2568,36176.01503704547
2569,34135.45
2570,32464.05
2571,34614.89881719042
2572,33717.97
2573,30506.015485179407
2574,31840.161
2575,35339.14334714948
2576,34345.38755266635
2577,29669.29653087336
2578,29714.14920190996
2579,32171.425063536804
2580,32364.41271422772
2581,31944.516192820247
2582,28738.744217517327
2583,27566.615290448102
2584,27847.3960264
2585,30051.914637286136
2586,37152.19095011202
2587,27237.803025455167
2588,31761.834
2589,32424.10189394964
2590,32831.665784373145
2591,33542.511278315935
2592,36540.40422755849
2593,44329.873
2594,45923.5693760053
2595,45006.495669064745
2596,47953.50519324145
2597,46820.884
2598,41858.534
2599,37431.967
2600,36291.349
2601,35858.154
2602,37423.088
2603,37525.686
2604,45180.803
2605,67721.711
2606,50155.771358516
2607,41354.23
2608,44983.723005
2609,34653.307005
2610,41944.264
2611,43903.52877777778
2612,41531.226
2613,38222.27033333333
2614,37306.889
2615,34423.281
2616,33085.636
2617,34047.695
2618,34086.329
2619,33816.727
2620,35813.163
2621,97059.326975
2622,73190.184
2623,50187.239
2624,33215.26966666667
2625,31736.194
2626,45165.66733333333
2627,48987.754
2628,39141.018
2629,32900.228
2630,26032.212
2631,24278.362
2632,27247.445666666667
2633,25963.18933333333
2634,23954.79
2635,23579.512
2636,32540.829
2637,31125.50083333333
2638,25831.719
2639,30278.698
2640,26398.108333333334
2641,33933.834
2642,28325.739
2643,30334.749333333333
2644,33031.26533333334
2645,33620.852
2646,38300.598333333335
2647,36994.492333333335
2648,37667.151
2649,50000.477333333336
2650,50709.085333333336
2651,37781.87366666667
2652,41481.79266666667
2653,37146.96366666666
2654,40757.865666666665
2655,40775.737
2656,48269.99
2657,60914.8
2658,54424.20588833333
2659,42907.039
2660,45073.07833333333
2661,28904.927
2662,38900.816
2663,77821.993
2664,43692.956
2665,42556.675
2666,29779.824
2667,28651.707
2668,27282.657
2669,27350.196
2670,38484.818
2671,37737.662
2672,35990.186
2673,32866.124
2674,33671.933
2675,31395.097
2676,31669.785
2677,34581.466
2678,32510.694
2679,33609.2705
2680,34537.4525
2681,31787.0855
2682,31383.538
2683,28085.7015
2684,24490.792
2685,27390.9985
2686,26163.503
2687,27810.8555
2688,28285.5255
2689,28768.2155
2690,26654.5445
2691,24724.6825
2692,30568.7685
2693,29650.479
2694,29095.2645
2695,28126.0745
2696,27988.713
2697,32081.33
2698,33625.9535
2699,31462.4945
2700,30899.0165
2701,33447.568
2702,35498.092
2703,32135.754
2704,30478.873
2705,31946.788
2706,33068.6375
2707,33827.4065
2708,31997.981
2709,40218.007
2710,38925.3955
2711,35649.974
2712,35799.449
2713,29384.039
2714,28548.2095
2715,39261.3405
2716,34286.144
2717,30899.673
2718,34215.83988095238
2719,36200.46566666667
2720,35784.15
2721,28471.029071428573
2722,30972.3385
2723,36352.503
2724,32423.162
2725,25954.815
2726,24241.74166666667
2727,27563.502
2728,29097.746
2729,21982.503
2730,21208.062
2731,24598.989
2732,25648.765
2733,26423.868666666665
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2506,49427.96719904112
2507,49735.90970942802
2508,47479.77622607215
2509,46948.14067031843
2510,45542.14962139044
2511,40252.229302257765
2512,37279.617775103776
2513,37048.37831470474
2514,35153.13172575394
2515,42044.87634265103
2516,42359.53728007155
2517,41610.22737756325
2518,39179.40627684773
2519,39270.59801964374
2520,36316.613678041984
2521,33213.879628573304
2522,37819.3159690956
2523,37571.9041008347
2524,32790.006653364144
2525,34492.98569873512
2526,34351.5512351392
