period_seq,b2b_timeseries
2527,4268.0
2528,5164.0
2529,6648.0
2530,6675.0
2531,6376.0
2532,5541.0
2533,5340.0
2534,4591.0
2535,4753.0
2536,5515.0
2537,6585.0
2538,6857.0
2539,6907.0
2540,6189.0
2541,5583.0
2542,5653.0
2543,5024.025641025641
2544,5664.871794871794
2545,5204.292307692308
2546,4838.476923076923
2547,5157.4820512820515
2548,5464.169230769231
2549,5854.0
2550,5926.0
2551,4996.0
2552,26655.0
2553,8525.0
2554,6685.0
2555,6994.0
2556,7164.0
2557,8703.0
2558,10866.0
2559,8146.0
2560,6091.0
2561,5152.0
2562,4771.0
2563,4783.0
2564,6503.0
2565,5429.0
2566,5188.0
2567,5264.0
2568,4758.0
2569,4913.0
2570,5439.0
2571,4785.0
2572,4764.0
2573,3276.0
2574,4132.0
2575,4466.0
2576,5155.0
2577,4097.0
2578,4752.0
2579,5166.0
2580,4466.0
2581,5318.0
2582,6123.0
2583,6784.0
2584,6102.0
2585,4835.0
2586,5297.0
2587,4501.0
2588,5475.0
2589,6637.0
2590,7588.0
2591,7192.0
2592,6204.0
2593,6041.0
2594,5794.0
2595,5996.0
2596,6437.0
2597,6219.0
2598,5644.0
2599,6430.0
2600,6529.0
2601,5891.0
2602,5275.0
2603,5764.0
2604,4822.0
2605,30972.0
2606,10619.0
2607,7814.0
2608,8171.0
2609,6908.0
2610,11101.0
2611,8579.0
2612,7102.0
2613,6585.0
2614,6729.0
2615,5476.0
2616,5413.0
2617,5717.0
2618,7242.0
2619,6380.0
2620,5552.0
2621,5829.0
2622,6599.0
2623,7008.0
2624,5351.0
2625,5882.0
2626,6249.0
2627,5603.0
2628,5491.0
2629,5705.0
2630,5291.0
2631,5642.0
2632,5208.0
2633,5683.0
2634,6793.0
2635,7451.0
2636,8094.0
2637,7287.0
2638,7126.0
2639,7091.0
2640,6638.0
2641,7161.0
2642,6976.0
2643,7593.0
2644,7463.0
2645,7247.0
2646,7299.0
2647,7169.0
2648,7774.0
2649,7876.0
2650,7058.0
2651,6108.0
2652,7637.0
2653,7729.0
2654,6380.0
2655,7072.0
2656,16248.0
2657,32245.0
2658,13878.0
2659,10424.0
2660,10227.0
2661,5941.0
2662,12193.0
2663,9950.0
2664,7989.0
2665,7020.0
2666,6976.0
2667,6437.0
2668,5576.0
2669,6342.0
2670,7511.0
2671,6379.0
2672,5992.0
2673,6207.0
2674,6207.0
2675,4272.0
2676,5008.0
2677,5431.0
2678,4423.0
2679,5038.0
2680,5512.0
2681,6089.0
2682,5152.0
2683,4660.0
2684,5255.0
2685,6100.0
2686,7991.0
2687,7133.0
2688,6620.0
2689,6480.0
2690,6251.0
2691,5754.0
2692,6295.0
2693,6399.0
2694,9408.0
2695,6711.0
2696,6383.0
2697,5766.0
2698,6067.0
2699,5752.0
2700,7147.0
2701,6269.0
2702,5634.0
2703,5362.0
2704,7863.0
2705,5279.0
2706,4797.0
2707,5124.0
2708,11902.0
2709,27381.0
2710,10433.0
2711,6798.0
2712,7838.0
2713,5588.0
2714,9025.0
2715,12558.0
2716,8310.0
2717,6177.0
2718,7486.0
2719,6050.0
2720,6164.0
2721,5390.0
2722,5091.0
2723,5093.0
2724,4575.0
2725,7351.0
2726,6459.0
2727,6086.0
2728,5985.0
2729,4450.0
2730,4088.0
2731,5273.0
2732,4822.0
2733,4553.0
2734,4288.0
2735,5353.0
2736,5186.0
2737,4329.0
2738,6516.0
2739,5746.0
2740,5545.0
2741,5628.0
2493,
2494,
2495,
2496,
2497,
2498,
2499,
2500,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2501,
2502,
2503,
2504,
2505,
2523,
2524,
2525,
2526,
2484,
2485,
2479,
2480,
2481,
2482,
2483,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
