,country_code,item_group_code,outlet_group_code,week_of_forecast,target,baseline,num_values_used_in_calculation,mape,mae,rmse,mpe,wide_mape,mape_cumsum_h_1,mape_cumsum_h_4,mape_cumsum_h_8,mape_cumsum_h_13,mape_cumsum_h_26,mae_cumsum_h_1,mae_cumsum_h_4,mae_cumsum_h_8,mae_cumsum_h_13,mae_cumsum_h_26,rmse_cumsum_h_1,rmse_cumsum_h_4,rmse_cumsum_h_8,rmse_cumsum_h_13,rmse_cumsum_h_26,mpe_cumsum_h_1,mpe_cumsum_h_4,mpe_cumsum_h_8,mpe_cumsum_h_13,mpe_cumsum_h_26,wide_mape_cumsum_h_1,wide_mape_cumsum_h_4,wide_mape_cumsum_h_8,wide_mape_cumsum_h_13,wide_mape_cumsum_h_26,in_prod_training,in_prod_inference,1-mase,1-rmsse,rmsse,1-mase_cumsum_h_1,1-mase_cumsum_h_4,1-mase_cumsum_h_8,1-mase_cumsum_h_13,1-mase_cumsum_h_26,1-rmsse_cumsum_h_1,1-rmsse_cumsum_h_4,1-rmsse_cumsum_h_8,1-rmsse_cumsum_h_13,1-rmsse_cumsum_h_26,rmsse_cumsum_h_1,rmsse_cumsum_h_4,rmsse_cumsum_h_8,rmsse_cumsum_h_13,rmsse_cumsum_h_26,cell,week_of_forecast_date
0,GB,INKJET_PRINTING_DEVICES,ALL,2701,quantity,nixtla_arima,26,0.3206109387308186,9895.886394717263,13815.665909507205,0.2974203988439401,0.2758711245687494,0.113105820236761,0.1221612852518238,0.1518187032278261,0.1905776958618519,0.2148768042763671,4015.040812500003,10544.951187500012,25549.31776953125,52137.630956730776,105974.51220243826,4015.040812500003,11869.065565701518,32229.179238794703,64253.25113884333,123929.1258511046,0.113105820236761,0.1221612852518238,0.1518187032278261,0.1905776958618519,0.2148768042763671,0.113105820236761,0.1273144419337875,0.1718304500232164,0.2209717084332395,0.2330884391507739,True,True,-0.0484762381302306,-0.1454873856312579,1.145487385631258,0.7360434835178415,0.5982429877090931,0.4291801603681665,0.2828707531698486,0.1666860952468496,0.7360434835178415,0.5705159738539185,0.3588016034904948,0.2258134214755476,0.1234891967827018,0.2639565164821584,0.4294840261460815,0.6411983965095052,0.7741865785244524,0.8765108032172981,GB-INKJET_PRINTING_DEVICES-ALL,2021-09-26
1,DE,PTV_FLAT,ALL,2701,quantity,nixtla_arima,26,0.267698625499279,30619.37948088895,39214.22448150881,0.2410131478945185,0.2435794819714602,0.3152597355174852,0.4240605530434523,0.4037563119209787,0.3832961645106456,0.3180737337523526,29334.280665728264,105379.20936266948,189169.3924038097,317550.73910249403,464058.328933357,29334.280665728264,117784.92509867658,213947.98450710197,366556.7205847807,505275.2919809939,0.3152597355174852,0.4240605530434523,0.4037563119209787,0.3832961645106456,0.3180737337523526,0.3152597355174852,0.4408560171208815,0.3913477336711634,0.3635376448919791,0.2808467092526892,True,True,0.1238802257356667,0.1211077797302554,0.8788922202697446,0.2532991036500297,0.1937412243933772,0.1686862508272144,0.1413968444433293,0.0944198406074309,0.2532991036500297,0.1880447452237976,0.1623152753934572,0.1324876203388497,0.085401459834009,0.7467008963499703,0.8119552547762023,0.8376847246065428,0.8675123796611502,0.914598540165991,DE-PTV_FLAT-ALL,2021-09-26
2,DE,DIGITAL_CAMERAS,ALL,2701,quantity,nixtla_arima,26,0.1659578705411304,2805.017261130463,5274.171899979878,0.0432986837584736,0.1219356432218355,0.0838411306825837,0.0985838881439166,0.1111625185765972,0.1703133805881377,0.1705345623860125,860.2109042298616,2563.595793286565,6736.707387329752,22193.88511385636,33785.906683382585,860.2109042298616,2774.2446277031704,10269.853804918936,30463.474761812904,38697.334301711446,0.0838411306825837,0.0985838881439166,0.1111625185765972,0.1703133805881377,0.1705345623860125,0.0838411306825837,0.0967638094036318,0.1282181203730763,0.2203702575056181,0.1813881871868081,True,True,0.3229436832647814,0.1961926554105817,0.8038073445894183,0.750104635862636,0.7279565576749102,0.6357602114775165,0.4427791191920909,0.4762990088060809,0.750104635862636,0.7278269067653598,0.543168448920681,0.3832382583875144,0.4640608908615202,0.249895364137364,0.2721730932346402,0.456831551079319,0.6167617416124855,0.5359391091384798,DE-DIGITAL_CAMERAS-ALL,2021-09-26
3,GB,POINTING_DEV,ALL,2701,quantity,nixtla_arima,26,0.1664183695096219,7916.240408653846,12598.392566530449,0.1345342072337564,0.091468996146387,0.0100291831205435,0.0848017600735539,0.0778044199084166,0.0497831900370045,0.0394681821861331,524.8842187499977,12061.793046875002,16861.730078125,11790.929699519196,25427.724417067428,524.8842187499977,14005.287234998248,18815.192804840357,15002.002615254814,42422.82455198367,0.0100291831205435,0.0848017600735539,0.0778044199084166,0.0459760960041236,0.0375646351696926,0.0100291831205435,0.0969188109687067,0.0726124941825598,0.0217921145166016,0.0299058809002074,True,True,0.1170535744257207,-0.1452970836741287,1.1452970836741287,0.8992411243043709,0.6110943339531603,0.6560960914326476,0.7819646415503687,0.739350215975899,0.8992411243043709,0.5997826013005202,0.6491517021841121,0.7371392158364132,0.6148501170545473,0.1007588756956291,0.4002173986994798,0.3508482978158879,0.2628607841635868,0.3851498829454527,GB-POINTING_DEV-ALL,2021-09-26
4,DK,MEDIATABLETS,ALL,2701,quantity,nixtla_arima,26,0.2022221446514986,1073.8695350060095,1493.3500701399512,0.1548571369629607,0.1589679200745661,0.2452472519711731,0.1933110446738846,0.1978832012150599,0.2219384025625904,0.1922991266769577,1220.8408203125,2187.9578857421875,4437.886535644531,8901.155423677883,13317.556875375598,1220.8408203125,2326.6970345543245,5416.7161346289895,10825.936336229148,14754.81126465766,0.2452472519711731,0.1933110446738846,0.1978832012150599,0.2219384025625904,0.1922991266769577,0.2452472519711731,0.1816976673442139,0.203299418414782,0.2355028269041046,0.1802201266382565,True,True,0.1308354348014304,0.0657350269451771,0.9342649730548228,0.31605556285014,0.3016412748987591,0.2219097212234404,0.1196897593891692,0.0506016981648081,0.31605556285014,0.295861052159082,0.1851959705933201,0.0874817173129886,0.0350255147012106,0.68394443714986,0.704138947840918,0.8148040294066798,0.9125182826870114,0.9649744852987894,DK-MEDIATABLETS-ALL,2021-09-26
5,CH,MOBILE_COMPUTING,ALL,2701,quantity,nixtla_arima,26,0.1603347696596984,1739.182911658654,2160.368520712036,0.0398505939232349,0.0325020180583256,0.0246849888706391,0.0866591171474661,0.0919850662346579,0.0869006785570393,0.0606479614681572,226.2643359374997,2270.2450976562504,4104.121621093751,6298.494498197117,6979.885700549456,226.2643359374997,2864.5274409784065,4764.149130964094,7288.5498910261185,7709.820950520551,-0.0246849888706391,0.0743166227121465,0.0858138190169982,0.0831029879615564,0.0587491161704157,0.0246849888706391,0.1004200910524424,0.0967481599782527,0.0830218656611692,0.0458210477226715,True,True,0.1253461002626907,0.1292058871919671,0.8707941128080329,0.0647528791902639,0.3489141813390127,0.3717745280651489,0.3713804684713983,0.4615256303750535,0.0647528791902639,0.3390664454863697,0.3699570903390374,0.3626098290381265,0.450205456498276,0.935247120809736,0.6609335545136302,0.6300429096609625,0.6373901709618734,0.549794543501724,CH-MOBILE_COMPUTING-ALL,2021-09-26
6,SE,MEDIATABLETS,ALL,2701,quantity,nixtla_arima,26,0.1140188372142293,1134.6250563401445,2176.9998699005205,0.0831830488201539,0.1034301097801775,0.1104968451280032,0.0889657252689358,0.0834457757129555,0.1143844564663554,0.1105827015651637,754.25146484375,1340.75146484375,2734.50146484375,8086.943772536061,13401.94377253605,754.25146484375,1417.4947056270305,4138.0026520934725,10889.21219623881,15366.965433477651,0.1104968451280032,0.0889657252689358,0.0834457757129555,0.1143844564663554,0.1105827015651637,0.1104968451280032,0.083721094311015,0.0879989529865966,0.1376310051147974,0.1138655431490554,True,True,0.0032015048202818,0.0006158184353379,0.999384181564662,0.1116001591946407,0.0660038559082201,0.0334889229146416,0.0115805546814764,0.0070201300434372,0.1116001591946407,0.0596596427345335,0.0150466464931028,0.0064371185093416,0.0053530146419292,0.8883998408053593,0.9403403572654664,0.9849533535068972,0.9935628814906584,0.9946469853580708,SE-MEDIATABLETS-ALL,2021-09-26
7,SE,PTV_FLAT,ALL,2701,quantity,nixtla_arima,26,0.3343309809693498,4631.578481820913,5319.508821107881,-0.30762799184979,0.2544804521050156,0.3110002513155282,0.4000927938028332,0.4084080009660331,0.3394440521522334,0.2889512627745957,3915.4931640625,15065.989135742188,29654.90789794922,37728.85182542067,60182.258826622594,3915.4931640625,18023.389057878663,33949.89022877955,41231.17977795212,65910.4700042845,-0.3110002513155282,-0.4000927938028332,-0.4084080009660331,-0.3394440521522334,-0.2889512627745957,0.3110002513155282,0.4348017441646795,0.3988783205220099,0.2863996039429208,0.2526287430198143,True,True,-0.749067053198027,-0.4705953200424153,1.470595320042415,-2.7008442004371456,-3.086800253829428,-3.300773416184942,-4.035781779199458,-3.0732936698313558,-2.7008442004371456,-2.484256344560898,-3.0274904027855865,-3.500487074903253,-2.780995569601702,3.7008442004371456,3.484256344560898,4.0274904027855865,4.500487074903253,3.780995569601702,SE-PTV_FLAT-ALL,2021-09-26
8,DK,PTV_FLAT,ALL,2701,quantity,nixtla_arima,26,0.1561971302591817,1095.4721304086538,1411.2845891083427,0.0643631143016014,0.0365511833372147,0.3564486650246746,0.21672336567987,0.1382177400909419,0.1037977892661509,0.059856164042414,2491.9326171875,2948.39892578125,2975.6348876953125,3634.0274939903848,3193.5477388822114,2491.9326171875,2993.0317077727177,3178.758548683094,3910.552306753341,3654.8961328538535,0.3564486650246746,0.21672336567987,0.1382177400909419,0.1037977892661509,0.059856164042414,0.3564486650246746,0.1707187936528328,0.0900244644179061,0.0638384354983919,0.0285850854847378,True,True,0.660189035879823,0.6230527815211453,0.3769472184788547,0.7181709322339402,0.8080438206493432,0.8659276665039227,0.8849338660392213,0.9333432012294308,0.7181709322339402,0.8121808472081253,0.8661785934664069,0.8866252868915625,0.929794705668126,0.2818290677660597,0.1878191527918746,0.1338214065335931,0.1133747131084375,0.0702052943318739,DK-PTV_FLAT-ALL,2021-09-26
9,NO,MOBILE_COMPUTING,ALL,2701,quantity,nixtla_arima,26,0.117330380235034,624.3392146183894,790.6029073725633,0.0437397694255712,0.0425959108541261,0.1724691594582034,0.087926986100779,0.0620269739050388,0.0678650705541615,0.0611448236858571,719.02392578125,691.8134765625,1057.444580078125,2584.5543494591348,4267.909339317908,719.02392578125,720.1699480197877,1468.9405856120998,3361.3205627399893,4854.609029237647,0.1724691594582034,0.0559458139004764,0.0413486741575625,0.055139963017253,0.0547822699174028,0.1724691594582034,0.0133739995827893,0.0300128406089589,0.0605189779920454,0.0552993675272842,True,True,0.1066633878114509,0.153070646372753,0.846929353627247,0.0649883930022756,-0.0968109021997623,0.2106413510660633,0.2270002635860498,0.2150138453433389,0.0649883930022756,-0.0208147119579298,0.284417981797177,0.234650067601797,0.2145557094900319,0.9350116069977245,1.0208147119579298,0.715582018202823,0.7653499323982029,0.7854442905099681,NO-MOBILE_COMPUTING-ALL,2021-09-26
