,model_name,country_code,item_group_code,outlet_group_code,week_of_forecast,actual_check,absolute_actual_difference,percentage_actual_difference,absolute_forecast_difference,percentage_forecast_difference,cell,mape_diff,1-rmsse_diff,wide_mape_diff,abs_mape_diff,abs_wide_mape_diff,abs_1-rmsse_diff
0,theta,CH,MOBILE_COMPUTING,ALL,2701,0.0,36936.0,13.0,34727.8644,12.0,CH-MOBILE_COMPUTING-ALL,-0.0099,-0.031,-0.0088,0.0099,0.0088,0.031
1,theta,CH,MOBILE_COMPUTING,ALL,2702,0.0,37756.0,13.0,34494.2363,12.0,CH-MOBILE_COMPUTING-ALL,-0.0076,-0.0347,-0.0117,0.0076,0.0117,0.0347
2,theta,CH,MOBILE_COMPUTING,ALL,2703,0.0,37712.0,13.0,35155.6364,12.0,CH-MOBILE_COMPUTING-ALL,-0.0073,-0.0352,-0.0093,0.0073,0.0093,0.0352
3,theta,CH,MOBILE_COMPUTING,ALL,2704,0.0,37738.0,13.0,35521.3837,12.0,CH-MOBILE_COMPUTING-ALL,-0.006,-0.0443,0.0018,0.006,0.0018,0.0443
4,theta,CH,MOBILE_COMPUTING,ALL,2705,0.0,38218.0,13.0,35391.2669,13.0,CH-MOBILE_COMPUTING-ALL,-0.0051,-0.0501,0.0072,0.0051,0.0072,0.0501
5,theta,CH,MOBILE_COMPUTING,ALL,2706,0.0,40134.0,14.0,36611.2078,13.0,CH-MOBILE_COMPUTING-ALL,-0.0059,-0.081,0.0074,0.0059,0.0074,0.081
6,theta,DE,DIGITAL_CAMERAS,ALL,2701,0.0,8578.8196,3.0,10112.8725,3.0,DE-DIGITAL_CAMERAS-ALL,-0.0059,0.0177,0.0015,0.0059,0.0015,0.0177
7,theta,DE,DIGITAL_CAMERAS,ALL,2702,0.0,8454.9906,3.0,11010.4121,3.0,DE-DIGITAL_CAMERAS-ALL,-0.0027,0.0161,0.0041,0.0027,0.0041,0.0161
8,theta,DE,DIGITAL_CAMERAS,ALL,2703,0.0,8337.3749,3.0,10787.5774,3.0,DE-DIGITAL_CAMERAS-ALL,-0.0076,0.0172,0.0051,0.0076,0.0051,0.0172
9,theta,DE,DIGITAL_CAMERAS,ALL,2704,0.0,8315.4601,3.0,9922.3101,3.0,DE-DIGITAL_CAMERAS-ALL,-0.0067,0.0174,0.0028,0.0067,0.0028,0.0174
10,theta,DE,DIGITAL_CAMERAS,ALL,2705,0.0,8378.8944,3.0,12211.5965,4.0,DE-DIGITAL_CAMERAS-ALL,-0.0111,0.0156,0.0108,0.0111,0.0108,0.0156
11,theta,DE,DIGITAL_CAMERAS,ALL,2706,0.0,8101.6096,3.0,12053.0766,4.0,DE-DIGITAL_CAMERAS-ALL,-0.011,0.0158,0.0118,0.011,0.0118,0.0158
12,theta,DE,PTV_FLAT,ALL,2701,0.0,21056.7331,1.0,20659.2873,1.0,DE-PTV_FLAT-ALL,-0.0009,-0.0004,-0.0011,0.0009,0.0011,0.0004
13,theta,DE,PTV_FLAT,ALL,2702,0.0,21004.196,1.0,23347.0813,1.0,DE-PTV_FLAT-ALL,0.0001,-0.0019,0.0,0.0001,0.0,0.0019
14,theta,DE,PTV_FLAT,ALL,2703,0.0,21256.5156,1.0,23150.9678,1.0,DE-PTV_FLAT-ALL,0.0001,-0.0018,0.0001,0.0001,0.0001,0.0018
15,theta,DE,PTV_FLAT,ALL,2704,0.0,21063.0323,1.0,24056.3395,1.0,DE-PTV_FLAT-ALL,0.0001,-0.0018,0.0006,0.0001,0.0006,0.0018
16,theta,DE,PTV_FLAT,ALL,2705,0.0,21284.6865,1.0,23851.3761,1.0,DE-PTV_FLAT-ALL,0.0,-0.0015,0.0006,0.0,0.0006,0.0015
17,theta,DE,PTV_FLAT,ALL,2706,0.0,21618.0329,1.0,18936.5663,1.0,DE-PTV_FLAT-ALL,-0.0006,-0.0008,-0.0012,0.0006,0.0012,0.0008
18,theta,DK,MEDIATABLETS,ALL,2701,0.0,26274.0,19.0,19286.5251,11.0,DK-MEDIATABLETS-ALL,-0.0687,0.1524,-0.0804,0.0687,0.0804,0.1524
19,theta,DK,MEDIATABLETS,ALL,2702,0.0,27148.0,20.0,21361.6972,13.0,DK-MEDIATABLETS-ALL,-0.0399,0.1092,-0.0626,0.0399,0.0626,0.1092
20,theta,DK,MEDIATABLETS,ALL,2703,0.0,28093.0,20.0,22175.6718,14.0,DK-MEDIATABLETS-ALL,-0.0169,0.0519,-0.0564,0.0169,0.0564,0.0519
21,theta,DK,MEDIATABLETS,ALL,2704,0.0,28371.0,21.0,23691.1212,15.0,DK-MEDIATABLETS-ALL,-0.0196,0.0471,-0.053,0.0196,0.053,0.0471
22,theta,DK,MEDIATABLETS,ALL,2705,0.0,29249.0,21.0,23095.9265,15.0,DK-MEDIATABLETS-ALL,-0.0129,0.0315,-0.0601,0.0129,0.0601,0.0315
23,theta,DK,MEDIATABLETS,ALL,2706,0.0,29069.0,21.0,19403.5001,12.0,DK-MEDIATABLETS-ALL,-0.0108,0.0485,-0.0792,0.0108,0.0792,0.0485
24,theta,DK,PTV_FLAT,ALL,2701,0.0,2394.0,1.0,2820.9952,1.0,DK-PTV_FLAT-ALL,-0.0011,0.0009,0.001,0.0011,0.001,0.0009
25,theta,DK,PTV_FLAT,ALL,2702,0.0,2375.0,1.0,2564.086,1.0,DK-PTV_FLAT-ALL,-0.0003,0.0009,-0.0017,0.0003,0.0017,0.0009
26,theta,DK,PTV_FLAT,ALL,2703,0.0,2305.0,1.0,2637.0319,1.0,DK-PTV_FLAT-ALL,0.0004,0.0028,-0.0024,0.0004,0.0024,0.0028
27,theta,DK,PTV_FLAT,ALL,2704,0.0,2300.0,1.0,2558.813,1.0,DK-PTV_FLAT-ALL,0.0001,0.0028,-0.002,0.0001,0.002,0.0028
28,theta,DK,PTV_FLAT,ALL,2705,0.0,2306.0,1.0,2473.3113,1.0,DK-PTV_FLAT-ALL,-0.0003,0.0029,-0.0016,0.0003,0.0016,0.0029
29,theta,DK,PTV_FLAT,ALL,2706,0.0,2304.0,1.0,2318.6999,1.0,DK-PTV_FLAT-ALL,-0.0009,0.0031,-0.0009,0.0009,0.0009,0.0031
30,theta,GB,INKJET_PRINTING_DEVICES,ALL,2701,0.0,66533.3781,8.0,42768.9966,5.0,GB-INKJET_PRINTING_DEVICES-ALL,0.0971,-0.3512,0.0235,0.0971,0.0235,0.3512
31,theta,GB,INKJET_PRINTING_DEVICES,ALL,2702,0.0,67019.4805,8.0,-39873.844,-5.0,GB-INKJET_PRINTING_DEVICES-ALL,0.1017,-0.3911,0.0537,0.1017,0.0537,0.3911
32,theta,GB,INKJET_PRINTING_DEVICES,ALL,2703,0.0,65975.1462,8.0,46642.035,6.0,GB-INKJET_PRINTING_DEVICES-ALL,0.0818,-0.3415,0.021,0.0818,0.021,0.3415
33,theta,GB,INKJET_PRINTING_DEVICES,ALL,2704,0.0,64892.5606,8.0,69865.9666,9.0,GB-INKJET_PRINTING_DEVICES-ALL,-0.0088,-0.0008,-0.007,0.0088,0.007,0.0008
34,theta,GB,INKJET_PRINTING_DEVICES,ALL,2705,0.0,68957.1002,8.0,75298.425,9.0,GB-INKJET_PRINTING_DEVICES-ALL,-0.0118,-0.0044,0.0056,0.0118,0.0056,0.0044
35,theta,GB,INKJET_PRINTING_DEVICES,ALL,2706,0.0,68571.3154,8.0,68419.4745,8.0,GB-INKJET_PRINTING_DEVICES-ALL,-0.0133,-0.0023,-0.0023,0.0133,0.0023,0.0023
36,theta,GB,MONITORS,ALL,2701,0.0,168804.5427,22.0,238837.8528,26.0,GB-MONITORS-ALL,0.0312,-0.0754,0.0411,0.0312,0.0411,0.0754
37,theta,GB,MONITORS,ALL,2702,0.0,167153.0523,22.0,362653.0509,45.0,GB-MONITORS-ALL,0.0504,0.0261,0.1991,0.0504,0.1991,0.0261
38,theta,GB,MONITORS,ALL,2703,0.0,165167.8115,21.0,161022.7479,21.0,GB-MONITORS-ALL,-0.0253,0.1105,-0.0001,0.0253,0.0001,0.1105
39,theta,GB,MONITORS,ALL,2704,0.0,161100.5503,21.0,167930.8337,26.0,GB-MONITORS-ALL,-0.0157,0.1524,-0.0326,0.0157,0.0326,0.1524
40,theta,GB,MONITORS,ALL,2705,0.0,158794.8354,21.0,281461.8412,42.0,GB-MONITORS-ALL,-0.0482,0.4881,-0.0788,0.0482,0.0788,0.4881
41,theta,GB,MONITORS,ALL,2706,0.0,156290.2184,21.0,181546.7806,25.0,GB-MONITORS-ALL,-0.0004,0.1442,-0.0355,0.0004,0.0355,0.1442
42,theta,GB,POINTING_DEV,ALL,2701,0.0,15980.0,1.0,18837.7048,1.0,GB-POINTING_DEV-ALL,-0.0016,-0.0314,-0.0022,0.0016,0.0022,0.0314
43,theta,GB,POINTING_DEV,ALL,2702,0.0,15764.0,1.0,18583.4727,1.0,GB-POINTING_DEV-ALL,-0.0018,-0.0295,-0.0022,0.0018,0.0022,0.0295
44,theta,GB,POINTING_DEV,ALL,2703,0.0,15543.0,1.0,20192.7675,2.0,GB-POINTING_DEV-ALL,-0.0008,-0.0393,-0.0042,0.0008,0.0042,0.0393
45,theta,GB,POINTING_DEV,ALL,2704,0.0,15282.0,1.0,19158.3745,1.0,GB-POINTING_DEV-ALL,-0.0011,-0.04,-0.0038,0.0011,0.0038,0.04
46,theta,GB,POINTING_DEV,ALL,2705,0.0,15203.0,1.0,18694.5423,1.0,GB-POINTING_DEV-ALL,-0.0012,-0.0412,-0.0037,0.0012,0.0037,0.0412
47,theta,GB,POINTING_DEV,ALL,2706,0.0,15027.0,1.0,18442.6962,1.0,GB-POINTING_DEV-ALL,-0.0011,-0.0438,-0.0036,0.0011,0.0036,0.0438
