,item_group_code,country_code,outlet_group_code,quantity,revenue,period_seq,start_date,market_depth
0,MOBILE_COMPUTING,CH,ALL,9080.0,,2527,2018-05-27,
1,MOBILE_COMPUTING,CH,ALL,9287.0,,2528,2018-06-03,
2,MOBILE_COMPUTING,CH,ALL,9079.0,,2529,2018-06-10,
3,MOBILE_COMPUTING,CH,ALL,9619.0,,2530,2018-06-17,
4,MOBILE_COMPUTING,CH,ALL,10237.0,,2531,2018-06-24,
5,MOBILE_COMPUTING,CH,ALL,9389.0,,2532,2018-07-01,
6,MOBILE_COMPUTING,CH,ALL,9621.0,,2533,2018-07-08,
7,MOBILE_COMPUTING,CH,ALL,10035.0,,2534,2018-07-15,
8,MOBILE_COMPUTING,CH,ALL,10332.0,,2535,2018-07-22,
9,MOBILE_COMPUTING,CH,ALL,8902.0,,2536,2018-07-29,
10,MOBILE_COMPUTING,CH,ALL,11600.0,,2537,2018-08-05,
11,MOBILE_COMPUTING,CH,ALL,11734.0,,2538,2018-08-12,
12,MOBILE_COMPUTING,CH,ALL,13580.0,,2539,2018-08-19,
13,MOBILE_COMPUTING,CH,ALL,13357.0,,2540,2018-08-26,
14,MOBILE_COMPUTING,CH,ALL,12543.0,,2541,2018-09-02,
15,MOBILE_COMPUTING,CH,ALL,12628.0,,2542,2018-09-09,
16,MOBILE_COMPUTING,CH,ALL,10804.0,,2543,2018-09-16,
17,MOBILE_COMPUTING,CH,ALL,12426.0,,2544,2018-09-23,
18,MOBILE_COMPUTING,CH,ALL,10254.0,,2545,2018-09-30,
19,MOBILE_COMPUTING,CH,ALL,9506.0,,2546,2018-10-07,
20,MOBILE_COMPUTING,CH,ALL,9251.0,,2547,2018-10-14,
21,MOBILE_COMPUTING,CH,ALL,9998.0,,2548,2018-10-21,
22,MOBILE_COMPUTING,CH,ALL,11144.0,,2549,2018-10-28,
23,MOBILE_COMPUTING,CH,ALL,9383.0,,2550,2018-11-04,
24,MOBILE_COMPUTING,CH,ALL,8747.0,,2551,2018-11-11,
25,MOBILE_COMPUTING,CH,ALL,23385.0,,2552,2018-11-18,
26,MOBILE_COMPUTING,CH,ALL,16656.0,,2553,2018-11-25,
27,MOBILE_COMPUTING,CH,ALL,11659.0,,2554,2018-12-02,
28,MOBILE_COMPUTING,CH,ALL,13838.0,,2555,2018-12-09,
29,MOBILE_COMPUTING,CH,ALL,16049.0,,2556,2018-12-16,
30,MOBILE_COMPUTING,CH,ALL,10835.0,,2557,2018-12-23,
31,MOBILE_COMPUTING,CH,ALL,9915.0,,2558,2018-12-30,
32,MOBILE_COMPUTING,CH,ALL,12938.0,,2559,2019-01-06,
33,MOBILE_COMPUTING,CH,ALL,11894.0,,2560,2019-01-13,
34,MOBILE_COMPUTING,CH,ALL,11236.0,,2561,2019-01-20,
35,MOBILE_COMPUTING,CH,ALL,11628.0,,2562,2019-01-27,
36,MOBILE_COMPUTING,CH,ALL,9703.0,,2563,2019-02-03,
37,MOBILE_COMPUTING,CH,ALL,9340.0,,2564,2019-02-10,
38,MOBILE_COMPUTING,CH,ALL,8405.0,,2565,2019-02-17,
39,MOBILE_COMPUTING,CH,ALL,9781.0,,2566,2019-02-24,
40,MOBILE_COMPUTING,CH,ALL,9232.0,,2567,2019-03-03,
41,MOBILE_COMPUTING,CH,ALL,8937.0,,2568,2019-03-10,
42,MOBILE_COMPUTING,CH,ALL,8566.0,,2569,2019-03-17,
43,MOBILE_COMPUTING,CH,ALL,10926.0,,2570,2019-03-24,
44,MOBILE_COMPUTING,CH,ALL,9709.0,,2571,2019-03-31,
45,MOBILE_COMPUTING,CH,ALL,9300.0,,2572,2019-04-07,
