,country_code,item_group_code,outlet_group_code,week_of_forecast,target,baseline,num_values_used_in_calculation,mape,mae,rmse,mpe,wide_mape,mape_cumsum_h_1,mape_cumsum_h_4,mape_cumsum_h_8,mape_cumsum_h_13,mape_cumsum_h_26,mae_cumsum_h_1,mae_cumsum_h_4,mae_cumsum_h_8,mae_cumsum_h_13,mae_cumsum_h_26,rmse_cumsum_h_1,rmse_cumsum_h_4,rmse_cumsum_h_8,rmse_cumsum_h_13,rmse_cumsum_h_26,mpe_cumsum_h_1,mpe_cumsum_h_4,mpe_cumsum_h_8,mpe_cumsum_h_13,mpe_cumsum_h_26,wide_mape_cumsum_h_1,wide_mape_cumsum_h_4,wide_mape_cumsum_h_8,wide_mape_cumsum_h_13,wide_mape_cumsum_h_26,in_prod_training,in_prod_inference,1-mase,1-rmsse,rmsse,1-mase_cumsum_h_1,1-mase_cumsum_h_4,1-mase_cumsum_h_8,1-mase_cumsum_h_13,1-mase_cumsum_h_26,1-rmsse_cumsum_h_1,1-rmsse_cumsum_h_4,1-rmsse_cumsum_h_8,1-rmsse_cumsum_h_13,1-rmsse_cumsum_h_26,rmsse_cumsum_h_1,rmsse_cumsum_h_4,rmsse_cumsum_h_8,rmsse_cumsum_h_13,rmsse_cumsum_h_26,cell,week_of_forecast_date
0,DK,MEDIATABLETS,ALL,2701,quantity,tbats,26,0.2283827278108835,1195.952817301118,1740.7758689918885,0.1941977700706061,0.1889669182383763,0.1784984856152406,0.1885998768016768,0.1650530787004484,0.2013400430016315,0.1996628823640441,888.5654613926681,2256.29193447773,3437.1364543334707,8367.082579848351,15012.683489199042,888.5654613926681,2431.5173676628087,3886.60911289898,10595.936797303766,17148.567107514475,0.1784984856152406,0.1885998768016768,0.1650530787004484,0.2013400430016315,0.1996628823640441,0.1784984856152406,0.1873724279675071,0.1574550941232561,0.2213725642013553,0.2031594642262196,True,True,0.0320241178629641,-0.089058722972958,1.089058722972958,0.5022042233094297,0.2798302156151515,0.3973702480978387,0.1725087217909092,-0.070242563558251,0.5022042233094297,0.2641387961149123,0.4153607670755821,0.1068683807627478,-0.1215277119689728,0.4977957766905703,0.7358612038850877,0.5846392329244179,0.8931316192372522,1.1215277119689728,DK-MEDIATABLETS-ALL,2021-09-26
1,DK,PTV_FLAT,ALL,2701,quantity,tbats,26,0.2451036588130406,1879.4693493675495,2420.541992267584,0.1598451129273237,0.0978011645318467,0.3587597122282585,0.3211020527916138,0.2057270087561742,0.1490168375941694,0.1053386062066208,2508.089148187755,5068.786922650166,4485.142940015687,4932.974214092332,7833.168522210482,2508.089148187755,5295.406789727277,4848.332124378007,5316.290392221704,9138.737630545887,0.3587597122282585,0.3211020527916138,0.2020073709384788,0.1467278297063568,0.1041941022627145,0.3587597122282585,0.2934939302654911,0.1277518873579581,0.083819338520401,0.0693909065456889,True,True,0.4169963124441493,0.3534850601798174,0.6465149398201826,0.7163436837607153,0.6699954802226491,0.7979141921887116,0.8438046292488185,0.8365034812024773,0.7163436837607153,0.6677018775470843,0.7958918193094409,0.8458701352802809,0.8244580032228507,0.2836563162392846,0.3322981224529157,0.2041081806905591,0.1541298647197191,0.1755419967771493,DK-PTV_FLAT-ALL,2021-09-26
2,NO,PTV_FLAT,ALL,2701,quantity,tbats,26,0.1994032964458756,1652.608665612672,2592.8058960134404,0.0632958813637978,0.0046805916370649,0.0672847598501768,0.0552815207857765,0.0696242836557776,0.0505186612284784,0.0294454972641605,366.50008690391314,692.6531222828969,2323.679738011254,2137.306743355128,1716.5979656431248,366.50008690391314,837.7511112466542,3454.482415890672,3006.6023688920864,2391.7613297891207,0.0672847598501768,0.051983366421405,0.0380806299633428,0.0192281543696172,0.0063219833187969,0.0672847598501768,0.0435849761938875,0.004856349168521,0.0043841113441574,0.0056759684437008,True,True,0.0421582000060306,-0.2058860929863128,1.2058860929863129,0.750170356575383,0.7151041142281144,0.6454832957492938,0.8452581204652747,0.920676885290771,0.750170356575383,0.6849659495112064,0.5860369162860128,0.8250213434307234,0.9010639207923477,0.249829643424617,0.3150340504887936,0.4139630837139871,0.1749786565692765,0.0989360792076523,NO-PTV_FLAT-ALL,2021-09-26
3,CH,MOBILE_COMPUTING,ALL,2701,quantity,tbats,26,0.170620647424055,1897.600636394783,2867.967698079174,0.0939210026762487,0.0504205820660652,0.1164372780479804,0.1987231013372641,0.1658927539236332,0.1232887793070825,0.0815118297281157,1067.2722411972518,4487.805398551942,5973.10332307607,6430.928324278833,7800.262296902123,1067.2722411972518,5019.517426097156,6852.850397918725,7129.0138716177735,8466.812949335079,0.1164372780479804,0.1987231013372641,0.1658927539236332,0.1232887793070825,0.0815118297281157,0.1164372780479804,0.2089208314251385,0.1427742622848117,0.0852385938117239,0.0513346038151662,True,True,0.0456761128225416,-0.1560108209630037,1.1560108209630038,-3.4114919240989146,-0.2870621127753741,0.0856860491734013,0.358162946453421,0.3982363747155679,-3.4114919240989146,-0.1581552499425018,0.0937332804898422,0.3765613958388781,0.3962236489966907,4.4114919240989146,1.158155249942502,0.9062667195101578,0.6234386041611218,0.6037763510033093,CH-MOBILE_COMPUTING-ALL,2021-09-26
4,SE,PTV_FLAT,ALL,2701,quantity,tbats,26,0.2725280184522483,5608.692307692308,10906.317828841984,-0.0292253895640921,0.2155659701004699,0.0377586866933539,0.0949579818334263,0.185291455103746,0.2695196684101101,0.286419422631405,475.38186546932593,4609.32279820399,19952.777461877307,47008.24786891012,74714.55797376373,475.38186546932593,6871.164774546165,31191.0316939382,61513.14304493241,84752.26504878415,-0.0377586866933539,-0.0846109376624484,-0.180117933018257,-0.2663359625113477,-0.2848275696820238,0.0377586866933539,0.1259357339030256,0.2667263212034577,0.3562657840231169,0.3134727584060281,True,True,-1.1180638448456164,-2.0150866362601163,3.0150866362601163,0.5506787660970454,-0.2503249147440634,-1.8936989176429144,-5.274330297293903,-4.056877923368213,0.5506787660970454,-0.3283239563521716,-2.7002058019565225,-5.714314426637621,-3.861866993852893,0.4493212339029546,1.3283239563521716,3.7002058019565225,6.714314426637621,4.861866993852893,SE-PTV_FLAT-ALL,2021-09-26
5,GB,INKJET_PRINTING_DEVICES,ALL,2701,quantity,tbats,26,0.1431940989534907,4446.334188831651,5534.4408266673145,0.0382535800016611,0.0255413353594826,0.0566316341112478,0.0619143683115651,0.0562389246601718,0.0580382203812969,0.0426977744433894,2010.3149577914155,5020.80513704164,8172.404817949509,13844.70185630624,15144.249912710213,2010.3149577914155,5361.090856413646,9480.467796626535,16207.163436860912,18065.94427520884,0.0566316341112478,0.0619143683115651,0.0562389246601718,0.0580382203812969,0.0412493393066269,0.0566316341112478,0.0606186783338061,0.0549630330761636,0.0586771467325729,0.0309093646283046,True,True,0.5289077139906642,0.5411272829703095,0.4588727170296904,0.8678380225579341,0.8087100039359301,0.8174130969104954,0.8095724636387767,0.8809155733105819,0.8678380225579341,0.8060080742833617,0.8113864239508859,0.8047201007516858,0.8722253931931441,0.1321619774420659,0.1939919257166382,0.1886135760491141,0.1952798992483142,0.1277746068068559,GB-INKJET_PRINTING_DEVICES-ALL,2021-09-26
6,SE,MOBILE_COMPUTING,ALL,2701,quantity,tbats,26,0.1216170692701811,1172.3000688037537,1974.8810394840373,0.0224492649885963,0.008947472579457,0.3389332774731518,0.1300673921219115,0.0826030852814901,0.0605178220983171,0.0452179770632683,2308.1356195921635,1407.1635467492688,1846.4084034566456,2219.573627845983,3681.344268396496,2308.1356195921635,1539.548297482109,2730.0772479617813,2988.094419789916,4404.530952232591,0.3389332774731518,0.1300673921219115,0.0502430255506809,0.0212336307214804,-0.0043422506533695,0.3389332774731518,0.0783967879855295,0.0097975018473707,0.0209309964924337,0.0262283888714002,True,True,-0.5457856673545793,-0.9053875119843516,1.905387511984352,-0.6051012653631178,-1.6613022160742674,-2.072866076066812,-0.5459125187247673,-0.4673005730057162,-0.6051012653631178,-1.03207589970211,-2.614356467582136,-0.5250835182564457,-0.2950403321508501,1.6051012653631178,2.03207589970211,3.614356467582136,1.5250835182564455,1.29504033215085,SE-MOBILE_COMPUTING-ALL,2021-09-26
7,DE,PTV_FLAT,ALL,2701,quantity,tbats,26,0.1757966225326265,25565.81039331392,48157.3058085352,-0.0877776816780679,0.1663921907714015,0.0126741591034551,0.0249001807810005,0.0790565551383467,0.1674504058185285,0.1988493222799515,1179.3048666128452,6723.917168507356,60986.00627140382,214913.4495208179,380787.58887426055,1179.3048666128452,8190.5932745324435,111167.7574775908,300159.9416847626,441328.9254059531,0.0126741591034551,-0.0039859764768535,-0.0685994529862732,-0.1610152660326371,-0.1956317523870058,0.0126741591034551,0.0144957315635697,0.1227949321607562,0.2448887066308072,0.2301480746235214,True,True,0.2684792307873167,-0.079329809116349,1.079329809116349,0.9699809239911412,0.9485551537504556,0.7319941409319941,0.4189106079498518,0.2569173659266739,0.9699809239911412,0.9435378063583286,0.5647375107445737,0.289625723204618,0.2011507443263359,0.0300190760088587,0.0564621936416713,0.4352624892554263,0.710374276795382,0.798849255673664,DE-PTV_FLAT-ALL,2021-09-26
8,GB,POINTING_DEV,ALL,2701,quantity,tbats,26,0.1126732804136301,6422.908425542031,10686.133880161988,0.0498971221770933,0.0115680932156881,0.034332565006829,0.0442335280299157,0.0476845026524702,0.0530245321747836,0.0436449971468255,1796.8184791022504,5630.19951889537,11507.929505882928,23394.53844544066,30703.784225466257,1796.8184791022504,6160.603268849399,13394.397732635533,28374.467653982392,35462.96769221065,0.034332565006829,0.0442335280299157,0.0349588247814264,-0.0021670999077702,-0.0170072626194495,0.034332565006829,0.0452397285185802,0.023988693985945,0.0313307364284843,0.0295119867684638,True,True,0.2836139703483785,0.0285428951297279,0.971457104870272,0.6550755322485605,0.8184667498967003,0.7652896874606605,0.5673931822421658,0.685267364242838,0.6550755322485605,0.8239535845778941,0.7502336705497269,0.5028307214020937,0.6780375187225802,0.3449244677514395,0.1760464154221058,0.2497663294502731,0.4971692785979063,0.3219624812774198,GB-POINTING_DEV-ALL,2021-09-26
9,SE,MEDIATABLETS,ALL,2701,quantity,tbats,26,0.157572181602336,1486.3158217595155,2352.238014066216,0.0767196543829325,0.0655311734125412,0.1393677728144833,0.1309040383914591,0.0874859785331667,0.0804947114652288,0.0706582735923362,951.3244172316636,1874.035974572885,2058.049856102553,4148.287899469059,7460.601304394904,951.3244172316636,1983.4394219180413,2360.4551495681208,5512.960887873999,8656.842478702081,0.1393677728144833,0.1309040383914591,0.0698847586543998,0.0696631915398338,0.0652425136296387,0.1393677728144833,0.117021197950163,0.0285016630302468,0.0583207911748006,0.0603218743016497,True,True,-0.3057682502364387,-0.0798298589885868,1.0798298589885869,-0.120523459636824,-0.3054935385391049,0.2725811235830864,0.4929792341898632,0.4472274291870159,-0.120523459636824,-0.3157778489167537,0.4381496555606298,0.4969816726325403,0.4396745205528781,1.120523459636824,1.3157778489167538,0.5618503444393702,0.5030183273674597,0.5603254794471219,SE-MEDIATABLETS-ALL,2021-09-26
